comments,Toxicity,Obscence,Threat,Identity attack - Insult,Sexual explicit,Sedition – Politics,Spam
lên fb giờ ăn cơm chắc kh nuốt nổi quá,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XỔ SỐ THỦ ĐÔ VẤN CUNG CẤP SỐ CHÍNH XÁC 100 % CHO ANH CHỊ EM CÓ NHU CẦU ZALO : 0944.313.794,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Vừa lòng tôi lắm,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ko có tài mà lại vô đạo đức xong lại tỏ ra mình là cái rốn của vũ trụ , ko có chuyên môn nhưng lại thích nhận xét chuyên môn của ng khác . Ko hiểu Y học tâm lý học ở đâu , lúc nào mà giỏi chém gió về tâm lý ng khác thế",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toàn Nguyễn phải nói là mồm lol răng cá mập :)) già cái đầu mà xàm lol câu like chán mấy mẹ,1.0,1.0,0.0,1.0,0.0,0.0,0.0
"Tùng Lưu cảm ơn mày , nhờ cmt mày mà tao khỏi phải đọc",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phượng Lâm thôi kệ hãy vv mà chấp nhận,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lê T. Hồng Chị có ib Em đấy .,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Vấn đề ko phải ở bổ túc hay nội trú , mà là tiền bạc đã che mắt pháp luật , tôi vốn không tin pháp luật",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vụ này quá mờ ám,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Chị tên Tiên chứ có phải tên Tiền đâu mà ai cũng phải thích nhưng em thích chị chị Tiên à ! ! ! Chị quá giỏi , em phục chị sát đất ko phải ai cũng có thể làm đc như chị",0.0,0.0,0.0,0.0,0.0,0.0,0.0
nhìn con chó béo thế,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tối mang chăn của bạn đi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trần Quang Huy em nào anh thích thì a sẽ gọi lá bấy bì,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nga Bé ghê vl :)),0.0,1.0,0.0,0.0,0.0,0.0,0.0
Nguyễn Thị Linh à thì ra m là con ruồi dẻ jack,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Bọn này lập ra để nhiều men là bán group đây mà chỉ có hội anti ta là bất tử,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ib nhé e,0.0,0.0,0.0,0.0,0.0,0.0,0.0
🌹 🌹 HÔM NAY EM NHẬN CHÁT gọi VIDEO TRỰC TIẾP 45 PHÚT GIÁ 100 k,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Giữa bẩy ác thú chỉ biết thổi thối bơm bít nâng bi như những thằng viết bài báo này mà còn có những người như Le Dung Vova Là hồng phúc của dân tộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ad làm cái clip hoạt hình để trao giải hoa hậu đạo lý lươn lẹo nhất của năm đi adHóng quá,1.0,0.0,0.0,1.0,0.0,0.0,0.0
"ủa có hả , ở đâu vậy mn",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Võ Ngọc Yến,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bảo Hân -,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sunny Ngọc chuẩn luôn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meii Mai,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vũ Khanh thk ml này ẳng vl ra,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Cày vào mà trả chứ sao,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sao những bài viết như này cứ đập vào mặt liên tục,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chủ tịch thì giàu hông hiểu sao lại đi vay .,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anh chỉnh tần số lọc âm thanh của WIndows lên có khi đỡ đấy ạ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Trai còn nhiều tiếc gì bạn ơi , đá nó liền",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Nhiều clip hay và hấp dẫn xem phê cả mắt
https://zalo.me/g/azbtdq686",0.0,0.0,0.0,0.0,1.0,0.0,1.0
"O ,O ,O CAI NUOC CHXHCNVN THANG NAO GIANH DUOC PHAN AN THI THANG DO CUNG DUOC MANG DANH "" CHU DAU TU "" !
",1.0,0.0,0.0,1.0,0.0,1.0,0.0
Huy Baek vl,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"tốt hay xấu mình tự biết mình mà chị , cần gì phải nge những lời nói của thiên hạ !",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vũ Thái Bình trend nhanh thế anh bình ới,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ụa là s =)) tui thấy Ri đang bênh chị Tiên mà s mn đọc s r nghĩ là Ri chữi chị Tiên dị =)),0.0,0.0,0.0,0.0,0.0,0.0,0.0
mỗi lần zai rủ đi ăn chắc phải hỏi xem có định đổi vài phát địt nhau không nhỉ :)))),1.0,1.0,0.0,0.0,1.0,0.0,0.0
Him Bino e làm cho,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Đỗ Tình tao lay cái bọn phan phan gì đó,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"xóa từ mấy năm trước luôn , mấy bài hay muốn nghe chả bh có trên zing , toàm bài gì đâu k chán thật",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nằm xuống rồi mơ nha,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tính làm người nổi tiếng đây mà,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oan cho em quá hụ hụ hụ . 2 bạn kia bảo em cmt như thế nhé,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xem mem gr này là bò hết hay j mà dắt mũi ghê v :)),0.0,0.0,0.0,0.0,0.0,0.0,0.0
"M cũng nhắn tin vs zai xong đi chơi cmnl , xem nó vs mình ai kiếm đc hàng ngon hơn =)))",1.0,1.0,0.0,0.0,0.0,0.0,0.0
Em gái 2 k làm việc riêng với bạn trai trong lớp học . Tham gia nhóm để hóng https://zalo.me/g/yaafvo828,1.0,0.0,0.0,0.0,1.0,0.0,1.0
đánh mày rụng hết răng bây giờ đó mày tin ko?,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Sớm thành công nhé,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Lâm Tinh vì cậu ấy thích phong cách hip hop mà phải hát bolero nên không chịu ấy , công nhận bước đi quá sai không thể nào đi lại",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Le Mi tao lại thấy nó mõm vl :)))),1.0,1.0,0.0,1.0,0.0,0.0,0.0
Thoa Khểnh góp đc 1.000 vnd kìa bạn k thấy nó chụp à lũ rãnh hán mà,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Thôi . Tối bận đi làm r . Cuối năm mà đ ' có tiền,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Nguyễn Hải Nam tả thì nh từ vl :)),1.0,1.0,0.0,0.0,0.0,0.0,0.0
T đếm dc 11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Đọc đến đoạn HSD đéo ngừng cười đc ạ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thằng này ở đâu cũng thấy =)),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tạ Thị Tần Hòe đạo nhái thì cũng phèn ói so vs hàng real thôi . Phèn nhái vs phèn original thì t xin đíu chọn cái nào,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sao giống phim kinh dị dậy trời,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM cả họ nhà anh . Dịch ra tiếng Việt là Chúc mừng cả họ nhà a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tiếc là bị che mất bỉm,1.0,0.0,0.0,0.0,0.0,0.0,0.0
m không trốnn được đâu long ơi,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Vui như ngày giải phóng,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cá nhân mình thik bài Buồn làm chi em ơi của HL hơn . Nó đẩy mình cao trào mà vừa có sâu lắng . Bài mới nhất của HL cũng hay : Người đến sau cho em tất cả,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lấy lgi đi du lịch các nơi đã c nhề =)),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phong Nguyễn gần gì luông,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIDEO HÀ MY VỚI BẠN TRAI ĐÊM NOEL BỊ LỘ,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Let’s goooooo,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Nguyễn Thu Hiền chuẩn . tụi nó chỉ biết cào phím , gào hét , soi mói ... Nhiều người nổi tiếng họ cũng sợ như TT nên họ k đứng ra kêu gọi mà cũng đâu yên thân , tụi nó cũng réo tên ra chửi . Rồi người ta kêu gọi thì tụi nó so sánh , ai kêu gọi nhiều , kêu gọi ít rồi cũng chửi bla bla . bọn k não nên im mồm lại cho người ra làm .",0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 ng dùng 2 người vui . Đến với # Bột trắng răng cao cấp nhà e để tự tin khoe răng nào cả nhà ơi ! ! . ° ° chủ yếu vẫn là ngắm zai nhé ! ! 😍 😍 . # ZENPALI Thảo Thánh Thiện added 2 new photos . < URL > Photos from Thảo Thánh Thiện's post,0.0,0.0,0.0,0.0,0.0,0.0,1.0
phải ngang với miracle đấy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Le Dang Hieu link của bạn để nofollow chặn SEO cho link gốc của tác giả thì ủng hộ gì ?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thằng e mua cho bộ qao :))) . Mặc bố cho câu đm nhìn như thằng đĩ vcđ hahaha < URL >,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Chị mất hết liêm sỉ rồi vậy nên đừng réo 2 chữ liêm sỉ với chị nha mấy đứa,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Hay thật đấy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cho nhận sao chổi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bạn là fan ndln hay antifan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No thanks tôi không cần app nào giúp tôi kiếm ít tiền .,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Long Ngoc Ha vl =)),0.0,1.0,0.0,0.0,0.0,0.0,0.0
Anh bạn sống tây thế :)),0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dkm mày đời , tao lại sợ mày quá cơ ... 😎 😎 😎 😎 😎 Thiện Thân Thiện is feeling crazy . < URL > Photos from Thiện Thân Thiện's post",1.0,1.0,0.0,0.0,0.0,0.0,0.0
Dưa to thế,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Linh Lee,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dcm tởm vl bệnh hoạn vl,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Ace tránh cái shop lừa đảo lớn nhất vịnh Vắc Bộ này ra nhé . ! . Nó lừa nhiều người lắm rồi đấy . T tính nhây thêm chút nữa để con đang ib với tt nó điên lên vì khách nhưng thôi . T buồn ngủ quá nên cho nó biết luôn là nó đang bị t lừa . + ) ) . Mục đích của t là để nó cảm nhận bị ng.kh lừa là ntn . Mà giám gan to đi lừa tiền của mn trên mạng xh như thế . . Làm ăn đell uy tín thì thôi mà ranh con còn to cmn mõm . < URL > Photos from Lành Hiến's post,1.0,1.0,0.0,0.0,0.0,0.0,0.0
"Đúng thằng hề , best Joker :))))",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Con bê đê chúa đấy ae,1.0,0.0,0.0,1.0,0.0,0.0,0.0
""" Người muốn làm thì tìm cách , người không muốn làm thì đi tìm lý do "" - càng ngẫm càng càng thấy đúng 😊 😊 😊 . Ps : Người anh rất hiền nên hay bị ông em làm phiền Chinh Bờm Hùng Nguyễn is feeling amused at Loanh quanh phố Hà Nội . < URL > \ ?",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trân Nguyễn nhất là cái miệng,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ai trẻ con . Có biết bài viết này đang nói lái phi công nào không ? Lắp não zô nói chuyện đi . Không nói thì không ai biết mình ngu , nói rồi mới thấy mình ngu thật . Hehe",1.0,1.0,0.0,1.0,0.0,0.0,0.0
"Bây h mới biết lý do vì sao mà ông linconl ông từ mặt gia đình mình , đến bố chết cũng ko chịu tang.ko ngờ !",0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Duy Quang mùa 13/14 nó đã là nòng cốt trong chiến dịch La decima thời Cartelo đag nắm quyền , mà nó bảo đệ đan hói đc thì tôi cũng ạ :)))",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thanh Tùng à lại có thêm văn mới cho lốc thủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nghèo vl :)))) khổ thân,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Hugh Ta huhu sao lại vote ban mình vậy ạ ?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tẩy chay mấy chương trình có con mặt đớt đi cho vợ chồng nó bớt láo vợ chồng nó coi thường khán giả lắm,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vjp tời,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hien Duc Mai ôi trời ... đúng mắc lỗi ai xin lỗi ng đó ... c ấy xl rồi còn gì ? ? ? mà ngta khôn vl ra ... bg thành giàu nhất xom ko biết co chia cho mọi ng trong xóm ko ? ? ? sơj thật ... ngta nói tâm sinh tướng ko sai tý nào ...,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ông đi xe máy said : “ nhà tôi ba đời chữa bại liệt ”,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thanh Liem Le mình dám khẳng định là bất cứ thằng nào lên cũng vậy thôi . Cái cơ chế này còn thì sẽ không thể thay đổi được,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Vote bắn, tội phạm nguy hiểm thế cơ mà",1.0,0.0,1.0,0.0,0.0,0.0,0.0
Thay Shroud vô đảm bảo lên hương,0.0,0.0,0.0,0.0,0.0,0.0,0.0
các bác chơi mod j r chứ eul sao lốc đc đồng đội cho đến bâyh update mới nhất =))),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nguyễn Minh Quang bóng dáng ai,0.0,0.0,0.0,0.0,0.0,0.0,0.0
không phải điêu mấy hôm lướt fb toàn HG tội bà . xong bây toàn thuỷ ttieen . đúng là thời công nghệ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nói trắng ra nó tổ chức cuộc thi để kiếm tiền tài trợ doanh nghiệp và mua bán giải thưởng . Con bán kem trộn có tiền vẫn có thể là hoa hòe doanh nhân . Con Y thì xấu xa mọi người biết rồi nơi nào trả tiền nó thì nó làm bấp chấp .,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M tự thiêu đi,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Millie Nguyen Haaahaaaahaaaa bà chuỵ e hung vãi . Sân siiii quaaaaaa đi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Trần Đỗ Mạnh Tuấn mà giờ ổng giàu kinh , phất thấy ớn",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hành Trình chó sủa nên mị k hiểu . Thông cảm,1.0,0.0,0.0,1.0,0.0,0.0,0.0
"Ở nhà mẹ nó đau lol đẻ ra nó hông biết nó có khi nào kêu là má iu , con tự hào về má chưa mà kêu con Y bằng má nghe ngọt xớt . ngu ngục :)))",1.0,1.0,0.0,1.0,0.0,0.0,0.0
Hoàng mặt láo vl,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Méi Juān ok tks ạ !,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hoàng Thuỳ Dương like,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Nếu TQ thâu tóm cả thế giới, luật pháp và hành pháp do TQ đặt ra cả thế giới phải nghe theo... đó sẽ là 1 thảm họa",1.0,0.0,0.0,0.0,0.0,1.0,0.0
Nên bây giờ trước khi đọc truyện là tôi phải đọc review trc . Nếu bạn đọc trên wiki thì t nghĩ bạn nên cảnh báo cho mn trc là hố giúp con dân đọc truyện,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ngủ sớm , dậy sớm để thành công à a ơi :))",0.0,0.0,0.0,0.0,0.0,0.0,0.0
N chơi game cứ mag con ra mà vứt đẤY bắt n bế . T cũg ms đẻ 3 tháng . N cũg mê aoe . Đứa đầu xót con còn ôm vào kệ n . Ms đẻ thằg này t kệ . Khóc t cũg ngồi lì ra . N nge con khóc khác chạy ra bế .,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Võ Hiếu Phúc ủng hộ ý kiến này . Nghỉ cho khoẻ đi chị ơi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trực Lê co e \ ? Keke,0.0,0.0,0.0,0.0,0.0,0.0,0.0
làm như dân hàn sống trong YG ý =)))) cười vl chắc uống fristi mỗi ngày,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nguyễn Gia Mẫn chỉ cần m cmt 1 câu “ hihi ” thôi m cũng bay màu nhé .,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Gi Gi mình đang làm hso bên đó mà cứ đòi giấy tờ này kia , nhức cả đầu",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"3 chiếc T54 vẫn cháy , những người lính vẫn hi sinh trong sáng 30/4/1975 . Trên đường tiến vào dinh độc lập , nhìn đồng đội mình thế kia , phải là những người lính có kỷ luật và đầy tình người mới không nã pháo vào cánh cổng . Nhìn đi lũ 3 que . . nguồn < URL >",1.0,0.0,0.0,0.0,0.0,1.0,0.0
"Nam Pham lạnh lắm , tạm nghỉ sang tuần ấm chơi tiếp",0.0,0.0,0.0,0.0,0.0,0.0,0.0
A di đà Phật Cầu mong cho con gặp được duyên lành,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hoàng Dũng không đọc T&C rồi vi phạm thì nhảy cẵng lên ngộ ha ?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"VAY TÍN CHẤP NGÂN HÀNG . VAY THẾ CHẤP TÀI SẢN . Mess , Zalo , Hotline : 0966737XXX",0.0,0.0,0.0,0.0,0.0,0.0,1.0
Bố mẹ vẫn đồng ý vì e từng này tuổi :)) Nếu cứ ngĩ vậy thì lấy ai bạn cũng khổ thôi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m cứ xác định đi gặp t thì xanh cỏ,1.0,0.0,1.0,0.0,0.0,0.0,0.0
"Vì t không muốn con cháu t sau này phải nghe đạo lý cổ xúy cho những quan điểm sai lầm . Điển hình câu "" Thà làm gái hư , làm gái ngoan thiệt thòi lắm "" . Điu gái ngoan chứ có ngu đâu mà thiệt thòi hả chúng mày . Con em ruột t đã từng vì câu nói đó mà có suy nghĩ tiêu cực . M.ó.a. T anti đến ngàn đời ngàn kiếp huhu",1.0,1.0,0.0,1.0,0.0,0.0,0.0
Thoát Nguyễn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Huyền Hồ like cho vk thằng e vô hóng kkk,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Mandela , ketamin hết :)))",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Hôm bửa , có ông đồng nghiệp nhờ tui làm thay ca để anh ta có thể dẫn người yêu đi ăn tối kỉ niệm 1 năm yêu nhau . Aww công nhận là dễ thương ứ chịu được luôn í .... . Tôi bảo "" đéo "" < URL >",0.0,0.0,0.0,0.0,0.0,0.0,0.0
""" Mùi cũng dễ chịu "" . Nghe kiểu thối um lên nhưng nhắm mắt ừm ừm cho là thơm vậy .",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Việt cọng là thầy lừa gạt,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Thùy Linh thối vl,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Nguyễn Diệu Hoa ..,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLAYDOTA.COMPlayDotaPlayDota,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CA SĨ VĂN MAI HƯƠNG THAY ĐỒ , BÚ CU , DOGGY full xem clipp full ko che tại = ==> Nhật ký chăn rau",1.0,0.0,0.0,1.0,1.0,0.0,1.0
"Hẳn là không phân biệt giới tính , giàu nghèo =)))) xin lỗi đi",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chị ố rồi giờ tới chị yếu,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Con viết cfs coi chừng nghiệp quật nha mày . Idol cũng là người , đéo là người trong cuộc thì câm miệng đi , sống sao cho vừa lòng thiên hạ",1.0,0.0,0.0,0.0,0.0,0.0,0.0
T thích ăn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bởi vậy người ta mới xếp hcm  vào danh sách những người có tội ác với nhân loại. Mấy người ở VN biết được bác của chúng nó cải trang để đi xem cuộc đấu tố bà Cát Thành Long, người đã bỏ ra trên một ngàn lượng vàng để nuôi ông ta và đồng bọn!",1.0,0.0,0.0,1.0,0.0,1.0,0.0
Lý Trà My đy vl,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Changg Lee đừng cười nha : "" )",0.0,0.0,0.0,0.0,0.0,0.0,0.0
k hiểu sao c nghĩ đến m,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tốt phong hậu thôi mà,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nhà báo mà đưa tin kèm theo định kiến cá nhân thì hơi bị kỳ . Nếu đưa tin bắt các quan chức mà dám viết là Đối tượng cang hay chung thì mới đúng là nhà báo !,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Võ Yến Hằng mua ăn tết y như kẹo,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tụi Ycon bảo 140 k thành viên thì có 10 k là fan còn lại 130 k vào hóng thôi chứ có anti gì đâu . Nghe mà buồn quá . Chả nhẽ giờ rủ nó vào group chứ .,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nga Hồ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Huyen Huynh bà nghĩ mày cmt vậy là duyên dáng đó hả ? Dzô dzuyên số zách luôn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nguyễn Ngọc Như LanTrịnh Huỳnh Thảo NhiQuốc ĐạtTri Nguyen Luong,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Về học lại tiểu học đi rồi hãy bảo vệ idol,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Changg Lee phóng hẳn 4 bánh vào duma : ' ( (,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hoàng Hồng Minh từ nay mượn tiền thì chặt tay nó,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duy Dinh anh thì thuộc nhóm khôn lạ chúc mừng anh,1.0,0.0,0.0,0.0,0.0,1.0,0.0
cũng dễ thương mà = ' >,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hảo Mỹ mày thấy chưa đâu phải tao chửi mày là tao ghét mày đâu,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N.T Thuỳ Trang he b ơi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"lịch sử và văn học còn ko phân biệt dc thì t ko tranh luận vs bạn . Còn nếu bạn tử tế đến thế thì ăn nói cho đàng hoàng , cất cái cc của bạn vào cho gia đình bạn dc nhờ .",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thành Trung Nói chuẩn vl .,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Nguyễn Thanh Tùng https://fb.watch/2TH99tsc2m/ Zing nó đăng bản full xin lỗi rồi này,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cứ chửi nó chứ đá với một lũ ngu thì nó đá thế nào được . Ngu nhưng biết phấn đấu thì còn chấp nhận chứ ngu mà nghĩ mình là ngôi sao . Mấy thằng mọi người Anh nó được báo chí với mấy huyền thoại Anh bênh vực nên nó đéo coi ai ra gì . Đá thì như con cặc nhưng mắc bệnh ngôi saoz .,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Túi khí cho cảm giác an toàn quá !,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Chứ ko phải nỗi máu chảnh chó lên rồi bơ ngta . Rồi ngta cưa người khác rồi lại lên mồm nói đúng là đàn ông,1.0,1.0,0.0,0.0,0.0,0.0,0.0
cảm giác lúc ấy sẽ ra sao nhỉ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dịch vụ ở việt nam quá rẻ so với các nước châu âu,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xếp hàng ăn cơm đê,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Nguyễn Trúc Tâm đúng rồi khuyên thì đương nhiên phải khuyên đúng rồi , nhưng cũng phải xem lại bản thân đang làm cái j , đang giữ vai trò j , đang dùng cách hát gì , một thầy cô muốn dạy đc học sinh thì giỏi hơn học sinh ( nhất là trong lĩnh vực mình đang "" chỉ dạy "" )",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Giờ bóc phốt up mỗi cái hình ng ta , kể lể dài dòng , k 1 bằng chứng thì ai tin bạn ơi ? Mà kể cũng lạ , bài vầy mà cũng đc duyệt mới sợ chứ",0.0,0.0,0.0,0.0,0.0,0.0,0.0
đm cho cút luôn,1.0,1.0,0.0,0.0,0.0,0.0,0.0
ko phải fan thuỷ tiên nhưng cũng thấy mấy cái bọn đi inbox các nhãn hàng dở hơi vcl . đến chịu . hâm vl . rảnh,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Nguyễn Đình Tuấn chuẩn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thùy Trâm clm thèm vl,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ở hn này bạn ơiii,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ib e nha e có nhiều mẫu lắm ạ . Giá cực kì hợp lí,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vớ vẩn,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Giờ có app rồi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quan trọng là fix xong 20 lỗi năm sau thi lại lòi thềm 20 lỗi nữa thì cười vl . :)),0.0,1.0,0.0,0.0,0.0,0.0,0.0
Vương Thái mình vẫn sẽ đi nội dung mới của những bên đã cho phép .,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Đạt Đinh,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lý luận ... không có chuyên môn và đạo đức !,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Chủ thớt nên câm miệng đi bạn ạ . Lắp não vào đã . Hãm y như mấy đứa dự đoán trù ẻo nhóm t gặp scd T7 rồi BP T8 trong khi nhóm nó còn đang bất ổn . Đấy nghiệp đấy . Trù ẻo nhóm người khác disband , tv nhóm gặp nạn , ... rồi nghiệp vận vào nên chủ thớt lấy đó làm gương .",1.0,0.0,0.0,1.0,0.0,0.0,0.0
AKi Hun à ra thế =)))) t tưởng học toudai thì đúng là hề hước,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Thu Hiến shared a post to the group : Mua bán đồ cũ ( Phan Rang ) . < URL > Ngô . Trong Tình Yêu k cần phải vội vàng .,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Hải Vũ 38 là mẹ nó có cơ hội pass đấy . Đây nó giao hẳn 35 mới chơi chứ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bạn thớt chắc cũng bị nó fuck nên cay,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Like drama,0.0,0.0,0.0,0.0,0.0,0.0,0.0
